id,sire,dam
65G,L07,L66
54G,L22,I50
24G,A92,V58
14H,O08,Z15
47G,H87,I70
73G,L22,J89
21H,E93,V05
32H,T53,B10
43H,J19,K89
69H,J19,H02
67H,J19,S73
82G,D52,96A
44H,N46,J74
91H,K27,953
21J,R70,A71
58I,S77,S59
18J,X81,S70
80I,T30,T84
17I,G23,07A
09I,R70,O54
12I,I85,R59
90H,X79,O30
60I,V79,Z97
94I,L83,J69
50I,S56,64A
16J,D52,54B
40J,L64,V36
20I,K14,S54
78I,L07,13B
45J,T30,N37
03J,V79,O69
64I,H87,C38
96I,S94,B04
25I,C56,T95
97H,S47,T85
14J,K14,X91
43I,A98,J92
46I,H87,I68
87H,D38,O27
22J,L64,T28
79I,X81,845
06I,R70,O70
87I,658,K04
39J,T57,T12
75I,C99,L37
81H,N46,R27
92I,O08,K83
98H,O49,J71
24I,K85,X37
09J,R70,V80
03I,T57,R74
96H,X79,D82
86H,R67,K80
19I,H79,X78
48I,J21,N12
99I,K32,Z11
77I,D52,S97
20J,Z46,X67
82H,O49,T83
94H,O15,X60
29I,T54,X34
63I,X94,05A
95H,C61,N16
41J,G07,E04
06J,S60,X28
26I,L83,O96
21I,S60,V44
29J,V83,L49
36I,761,95A
47J,X79,Z82
98I,F46,V65
93H,T88,41C
83I,X79,035
04J,T30,V60
18I,K42,L80
39I,K85,J66
42J,G07,Z75
07I,L22,T03
37I,D52,02A
30J,S56,J41
66I,27B,81B
13I,A98,V58
95I,H91,15C
27I,S60,K81
00J,S94,I88
69I,R70,I70
35I,T53,X33
10J,S94,F74
21K,R70,X70
55J,V79,65A
87K,H87,J91
95J,K01,Z14
24K,S94,53B
26K,J86,K89
17K,T16,Z15
96K,T30,Z67
47K,K85,N40
97J,I13,J79
03K,27B,19A
43K,K01,V05
44K,X94,R68
67K,86A,39A
73K,96B,J69
98J,X80,13A
83K,J86,G17
57J,T57,R78
71J,L64,V36
84K,G09,59A
60K,96B,K84
77J,K32,C38
20K,F46,X17
58J,S77,Z07
61K,X58,J12
32K,T57,Z51
14K,S77,X51
38K,23A,56A
34K,X94,S59
89J,R70,X86
46K,T53,V24
19K,T54,92D
59J,O08,S16
64K,08A,67C
90J,T16,O54
12K,32B,V82
57K,C99,51B
40K,K01,V80
72J,T57,H74
94J,I13,N86
09L,A48#,82B
16L,S78,V81
19L,O15,95B
33K,X94,R64
53K,T53,O96
60J,R70,J92
75K,V92,T86
07K,32B,73B
58K,T53,V44
79J,R70,K11
37K,H87,Z11
49K,X58,K28
65J,V95,N12
16K,H87,24B
06L,X58,V60
78J,R70,G43
84J,27B,V78
07L,K14,95A
93J,X94,80A
36K,K32,K07
96J,S56,T03
76J,X81,R75
97K,S60,02A
75J,56C,L80
48K,B76,T95
20L,E54,N37
79K,K85,J66
91J,T57,N05
66K,S60,D83
02K,L07,X67
13L,R70,O75
77K,86A,K80
62K,S60,X28
90K,C56,X34
56J,D71,I65
17L,X58,B10
72K,L01,K81
04K,D71,99A
29K,R70,O70
61J,V79,V58
98K,T53,74B
13K,R70,61A
45N,O49,T85
93L,L64,Z81
73L,T16,36B
43N,96B,D82
67N,T30,O36
91N,T30,O36
97L,T16,41C
49N,49A,R27
19N,R70,J28
44N,21B,L37
08N,X81,V36
66L,49A,E04
97N,88C,I70
31N,V79,65A
03N,R70,89C
22N,27B,55A
25O,V79,O52
53N,V79,O52
53L,F46,R59
00O,56C,90D
48N,V92,O96
85N,S60,K28
30O,Z06,X17
38N,E54,56A
45L,V79,Z07
63L,32B,L84
80L,L83,X37
95L,G62,O27
21O,K85,96A
12N,658,K04
49L,R70,73C
15O,T16,54B
77N,T16,H45
02N,A87,Z15
91L,32B,V05
62L,X81,R78
94L,H79,L97
27O,J86,X33
70N,L83,S73
80N,X98,51B
98N,56C,56D
23L,L22,A71
48L,R70,59A
09N,L64,Z14
77L,O19,67C
40L,Z06,64A
21N,Z46,N86
75L,L83,V60
84L,56C,05A
98L,79B,K89
15N,E05,92D
34N,R70,J92
92L,49A,53B
85L,25B,39A
42L,I37,J91
07O,T53,J66
35N,H87,N12
37L,Z46,R74
90L,T53,S55
24O,00A,J79
25N,40C,X67
28L,L07,T03
89L,08A,N16
24N,X58,15E
76N,T16,K81
05O,32B,O55
14O,A48#,X28
24L,X79,T28
51N,X98,83C
96N,R70,O69
33N,E05,99A
64L,49A,T86
72N,F32,T84
58N,V95,L80
55L,V83,Z67
00N,52B,93D
68L,R70,T27
18N,Z10,V04
16O,33A,D83
51L,X94,80A
27L,88C,C38
39N,D71,H74
06O,17B,19A
26N,56C,00B
37N,F46,24B
19O,14A,B75
90N,T57,953
18O,J88,Z82
95N,C56,T95
59L,49A,K80
36L,O08,N05
70O,17A,O35
81O,L83,02A
72O,21B,46B
54O,V29,41C
82O,33A,V44
86O,N60,J99
38P,J21,L19
59O,45A,J01
96O,02C,V81
54P,V79,V58
71P,V95,T12
23P,90B,82B
39O,02C,X51
33O,R70,X86
56P,00A,Z15
34O,Z46,73C
89O,O15,15C
57O,49A,B10
46P,F46,X17
41O,L64,K04
20P,J21,35B
49O,X81,07A
48O,57D,39A
61O,25B,X33
57P,K14,55H
85O,L83,54B
99O,R70,90D
53O,90B,Z67
68P,Z10,99A
98O,02C,78C
60O,79B,36B
63O,49A,T86
30P,56C,Z97
45P,E54,56A
71O,L83,95A
37P,J81,K28
78O,R70,89C
37O,K32,N12
83O,17A,X37
04P,56C,S16
74O,T57,T83
88O,Z46,O96
35P,79B,81B
36P,79B,T27
43P,K32,H74
42P,S76,R59
45O,25B,L29
46O,E54,V99
69P,79B,C63
69O,N60,D07
19P,X94,X91
02P,V79,J92
29P,K32,24B
62O,49A,Z51
09P,L64,J95
66O,G62,K80
52O,G62,O27
01P,79B,21C
72P,Z46,V05
39R,33A,X83
93R,17A,Z82
22R,17A,J74
49R,56F,53B
07S,70C,03B
52R,70C,19A
01R,X80,X67
03R,13E,T98
94R,50B,H64
32S,45A,V65
99R,56F,41C
02R,T53,15E
85P,R70,J91
31R,03D,X37
77R,X58,73C
92P,V95,X17
98P,29C,J79
53R,70C,O55
19S,79B,74B
89R,Z46,V78
97P,60D,T03
09S,Z10,56A
10S,65F,61A
12S,S47,L19
20S,X58,22H
68R,33A,H45
29R,S47,32A
60R,K14,58H
15R,90B,Z75
36S,Z10,Z11
06S,57D,K79
42R,V79,V60
88P,91B,64A
28S,O34,X86
29S,57D,35I
35R,O15,28A
71R,S47,H02
80P,L83,57H
61R,45A,07A
54R,K14,45F
40R,79B,Z53
15S,Z88,82B
08S,K32,24B
23S,O15,67C
96P,00A,L49
51R,V79,T83
36R,V79,54B
76P,79B,K11
89P,L64,H74
73R,40C,L66
62R,Z46,Z51
18R,S47,O96
25S,45A,O27
43R,H90,95A
19R,J21,93I
35S,79B,J92
02S,V83,O35
21S,X58,L48
03S,T57,D82
24S,K85,T95
79P,65F,39B
14S,R70,89C
64S,70C,59A
19T,S76,V05
41S,08A,81E
43T,J21,X34
80S,T53,73C
83S,X80,56A
68T,02F,56E
01T,S47,V60
51S,53H,J95
95S,88C,O96
74T,70C,07A
25T,88C,54B
23T,L83,67C
60S,65F,73B
70T,19C,J74
78T,66F,14I
90S,40C,78C
29T,78B,H74
63S,K42,24B
78S,S76,45F
63T,Z46,Z82
89S,O15,X37
05T,S47,02A
12T,40C,S70
52S,Z10,N12
92S,S47,32A
72T,40C,81B
44T,88C,95A
62S,40C,N86
76S,70C,O55
77S,T53,76H
73T,V83,T84
18T,Z46,H64
20T,70C,65A
13T,65F,Z14
49T,Z10,55H
80T,33A,J99
49S,65F,K04
64T,V83,N16
20V,49A,58H
38Z,57D,I56
42Z,53H,92D
71V,57D,X60
41V,33A,13A
47V,90B,55A
89T,R70,X67
01Z,K32,54N
39Z,25B,V78
42V,40C,73C
57V,65F,39B
73V,Z46,T83
58V,65F,48B
40V,O15,96A
39V,90B,45F
05V,X81,Z11
37V,90B,19A
17V,78B,64D
15V,X81,K00
38V,45J,78C
84V,31I,Z53
12Z,40C,G43
02Z,S76,R75
16V,O08,82L
55V,90B,J92
14Z,L83,95A
50V,G07,15C
24V,70C,Z51
02V,65F,64A
37Z,31I,X28
04Z,50B,O35
44V,S56,O55
32Z,X81,J91
06V,Z10,59A
10V,96B,K04
12V,X81,H74
34Z,65F,28G
08V,65F,73B
59V,66F,68J
2A0,65F,56E
9A9,49A,57H
91Z,02F,28J
8A9,96B,13A
8A8,X58,07A
65Z,40C,55A
5A8,86F,86C
2A9,65F,39B
6A2,60D,X37
4A3,L83,96A
3A4,78B,78C
I05X34,O15,X34
56Z,60H,K04
61Z,96B,S70
76Z,96B,76H
3A9,96B,81B
79Z,79H,64A
0B1,X58,93O
9A0,66F,Z82
78Z,65F,V65
7A3,02F,64D
1A1,79H,82L
2A2,65F,14L
94Z,O15,95A
I0554B,L83,54B
0A6,Z10,14I
5A5,14A,K00
1A8,H90,52P
1A5,65F,21C
4A1,O15,N40
9A8,L64,Z11
81Z,65F,73B
77Z,X80,X17
9A6,Z46,N16
5B6,70C,76H
5B4,02F,55A
8B9,K32,J91
6B9,J21,X28
3B1,03D,X91
6C4,05I,35J
2C3,S76,R75
1C1,65F,79C
7B7,65F,89C
8B4,04I,86C
9B3,60D,V60
4B2,O15,95A
9B0,65F,59A
5C8,T88,93O
9B2,X58,N12
3C8,65F,64A
9D4,04I,64D
7D6,65F,V58
5D5,27E,73C
2D0,05I,X37
5D9,02F,X17
6D6,79H,45F
8C1,70C,Z51
9C7,84E,I56
4D9,27E,55A
3D0,14A,O35
5E9,02F,K04
0G8,02F,55H
9F8,70C,Z51
6E7,90B,81B
0G0,04I,V65
I08T95,O15,T95
7E4,40C,54D
3G2,16N,Z82
3G4,65F,V80
2H0,27J,39B
8J3,40C,56A
I1038E,03D,38E
5J7,31I,64D
5L3,10R,88N
2L6,96B,14I
20B,I61,O44
42B,G09,R65
60A,I61,R71
45B,E54,S37
62A,C56,O43
31C,G21,O33
64B,N07,R79
81C,O34,T94
37C,S18,K80
17C,G07,R65
07C,L34,O35
50D,S79,K80
62D,L70,V91
22E,A48#,X87
46D,J19,O33
18E,O81,V72
68D,N07,R79
08E,I85,R65
41F,D71,S37
74F,S79,L97
37F,F46,X55
83F,S18,O35
33E,K85,T94
33F,X48,K07
77E,V45,L19
35F,K85,O33
62F,J19,31A
70E,V79,X97
94E,G37,Z08
