Find,ID,Year,Group,sdb.ra,vig.ra,sex,age,rank,rank2,rc,outdeg.grm,indeg.grm,eigen.pr,betw.pr,outdeg.agg,indeg.agg
43J|2011,43J,2011,F,50.75,,Female,13.2,70.5882,64.7059,0.851171003,1.309,0.8,0.193,0.013,0.008,0.035
43P|2011,43P,2011,F,64.65,,Male,10.2,91.1111,90.2439,0.945884623,1.457,3.607,0.285,0.009,0.068,0.012
44J|2011,44J,2011,F,32.03,,Female,13.3,41.1765,42.6471,0.83013565,1.736,1.44,0.11,0.022,0.015,0.037
79Z|2011,79Z,2011,F,60.58,,Female,6.4,32.3529,17.6471,0.904454462,0.952,0.204,0.078,0.008,0.004,0.048
93Z|2011,93Z,2011,F,49.12,,Female,6.3,5.8824,25,0.88351551,2.198,1.198,0.038,0.011,0.002,0.032
96B|2011,96B,2011,F,33.26,,Male,17.2,84.4444,95.122,0.943713791,2.811,2.523,0.109,0.028,0.064,0.004
98T|2011,98T,2011,F,29.71,,Female,7.2,66.1765,38.2353,0.865649798,1.697,2.694,0.133,0.022,0.006,0.025
O52|2011,O52,2011,F,25.22,,Female,23.2,51.4706,77.9412,0.858550524,3.242,0.662,0.256,0.006,0.004,0.021
X58|2011,X58,2011,F,38.57,,Male,20.1,22.2222,53.6585,0.813025443,0,0.552,0.02,0.003,0.013,0.008
0A9|2011,0A9,2011,F,30.95,,Female,6.3,1.4706,33.8235,0.844502617,3.165,0.931,0.067,0.005,0.008,0.044
0B8|2011,0B8,2011,F,58.36,,Male,6.3,60,60.9756,0.798646755,1.518,1.167,0.012,0.008,0.039,0.038
29H|2011,29H,2011,F,41.75,,Male,14.2,66.6667,70.7317,0.851800837,1.431,0.386,0.056,0.015,0.062,0.017
33T|2011,33T,2011,F,49.23,,Male,8.3,57.7778,19.5122,0.818871074,0.839,0.604,0.055,0.005,0.029,0.025
42L|2011,42L,2011,F,49.18,,Female,11.3,11.7647,14.7059,0.908516576,1.4,1.878,0.056,0.016,0.004,0.029
43F|2011,43F,2011,F,11.15,,Female,15.2,72.0588,63.2353,0.832133142,1.264,1.384,0.101,0.019,0.031,0.039
43H|2011,43H,2011,F,68.72,,Male,14,31.1111,4.878,0.937511523,,,,,,
56A|2011,56A,2011,F,30.31,,Female,18.1,95.5882,97.0588,0.94315223,0.858,3.455,0.065,0.013,0.034,0.017
62V|2011,62V,2011,F,14.13,,Female,7.3,4.4118,4.4118,0.95906612,0.969,0.481,0.015,0.01,0.004,0.041
64D|2011,64D,2011,F,38.36,,Female,16,13.2353,16.1765,0.924183558,0.13,0.947,0.019,0.01,0.002,0.027
78T|2011,78T,2011,F,64.67,,Female,8.3,97.0588,95.5882,0.94218349,1.335,3.091,0.11,0.001,0.074,0.021
85B|2011,85B,2011,F,17.03,,Male,17.3,97.7778,100,0.965574116,0.939,10.229,0.245,0.009,0.066,0.006
R65|2011,R65,2011,F,19.63,,Female,22.2,67.6471,100,0.952225175,,,,,,
10S|2011,10S,2011,F,23.29,,Female,9.3,77.9412,61.7647,0.826090463,0.372,1.348,0.088,0.008,0.01,0.033
20F|2011,20F,2011,F,62.28,,Female,15.1,14.7059,1.4706,0.918453861,3.166,3.718,0.094,0.013,0.002,0.023
36T|2011,36T,2011,F,44.12,,Male,8.2,53.3333,39.0244,0.798598252,0.376,0.132,0.024,0.003,0.033,0.019
52P|2011,52P,2011,F,42.25,,Female,10.3,76.4706,75,0.844412961,0.625,0.284,0.059,0.005,0.034,0.051
68V|2011,68V,2011,F,25.34,,Female,7.2,86.7647,82.3529,0.880494004,1.8,0.497,0.173,0.033,0.016,0.031
73B|2011,73B,2011,F,53.77,,Female,17.2,45.5882,36.7647,0.871614302,0.745,0.787,0.142,0.014,0.008,0.029
88I|2011,88I,2011,F,27.77,,Female,13.3,50,27.9412,0.908407079,1.253,0.856,0.24,0.02,0.004,0.048
29B|2011,29B,2011,F,48.62,,Female,18.2,0,23.5294,0.898953313,1.837,2.084,0.079,0.01,0.002,0.067
2A7|2011,2A7,2011,F,58.84,,Female,6.5,29.4118,19.1176,0.947680659,0.694,3.222,0.086,0.009,0.008,0.051
36S|2011,36S,2011,F,64.35,,Male,9.3,95.5556,92.6829,0.967711082,1.057,2.328,0.219,0.007,0.079,0.006
N12|2011,N12,2011,F,15.17,,Female,24.2,85.2941,83.8235,0.924137607,1.345,1.337,0.17,0.01,0.01,0.015
25L|2011,25L,2011,F,73.51,,Male,11.2,82.2222,85.3659,0.925904042,2.692,1.727,0.041,0.007,0.079,0.008
34N|2011,34N,2011,F,20.6,,Female,11.3,20.5882,13.2353,0.921763923,0.534,0.278,0.062,0.024,0,0.041
57H|2011,57H,2011,F,62.07,,Female,14.1,26.4706,30.8824,0.850781255,1.219,2.228,0.201,0.013,0.01,0.027
90D|2011,90D,2011,F,36.62,,Female,16.2,36.7647,45.5882,0.831943835,0.694,1.113,0.14,0.014,0.025,0.031
V36|2011,V36,2011,F,44.44,,Female,21,91.1765,88.2353,0.916928577,0.475,1.413,0.057,0.008,0.023,0.017
56E|2011,56E,2011,F,22.46,,Female,15.2,47.0588,29.4118,0.885929394,1.103,0.596,0.11,0.008,0.006,0.026
59A|2011,59A,2011,F,7.28,,Female,18.4,48.5294,51.4706,0.824058807,0.497,0.59,0.211,0.008,0.033,0.038
63V|2011,63V,2011,F,26.08,,Female,7.5,25,58.8235,0.800691822,0.502,0.724,0.163,0.025,0.01,0.029
79C|2011,79C,2011,F,17.65,,Female,17.2,52.9412,48.5294,0.798581034,,,,,,
17T|2011,17T,2011,F,37.11,,Male,8.9,8.8889,2.439,0.918342259,,,,,,
1A3|2011,1A3,2011,F,39.6,,Female,6.9,19.1176,11.7647,0.926968514,1.305,0.456,0.03,0.002,0.006,0.039
28N|2011,28N,2011,F,36.39,,Female,11.9,22.0588,44.1176,0.843238368,0.533,1.502,0.076,0.002,0.021,0.039
29V|2011,29V,2011,F,54.86,,Male,8,71.1111,65.8537,0.837320156,0.18,1.632,0.014,0.014,0.038,0.028
31I|2011,31I,2011,F,47.91,,Male,13.7,42.2222,56.0976,0.810155934,0.548,0.413,0.012,0.003,0.053,0.012
35V|2011,35V,2011,F,45.66,,Male,7.7,73.3333,73.1707,0.875338599,1.231,2.424,0.014,0.004,0.031,0.015
60P|2011,60P,2011,F,79.65,,Female,10.8,61.7647,67.6471,0.848048536,1.929,1.721,0.04,0.009,0.023,0.041
64P|2011,64P,2011,F,25.46,,Female,10.8,57.3529,52.9412,0.872792249,0.05,0.254,0.046,0.019,0.008,0.035
6A8|2011,6A8,2011,F,47.45,,Male,6.9,62.2222,43.9024,0.79200633,0.892,0.549,0.002,0,0.028,0.021
91O|2011,91O,2011,F,59.48,,Male,10.8,6.6667,46.3415,0.782856194,,,,,,
92D|2011,92D,2011,F,68.19,,Female,16.8,58.8235,60.2941,0.829465462,1.453,1.811,0.006,0,0.035,0.023
96Z|2011,96Z,2011,F,41.68,,Male,6.9,64.4444,36.5854,0.79058273,0.64,1.137,0.005,0.003,0.015,0.025
9A4|2011,9A4,2011,F,57.45,,Female,7,88.2353,91.1765,0.901287374,2.306,0.957,0.06,0.005,0.012,0.039
K00|2011,K00,2011,F,54.37,,Female,25.7,60.2941,76.4706,0.871597027,1.774,0.061,0.012,0.001,0.006,0.031
04I|2011,04I,2011,F,49.51,,Male,13.9,77.7778,82.9268,0.910352756,2.637,2.464,0.07,0.006,0.061,0.01
61J|2011,61J,2011,F,36.61,,Female,12.6,27.9412,47.0588,0.823345161,2.809,1.271,0.108,0.014,0.014,0.039
03J|2011,03J,2011,F,36.77,,Female,13.8,7.3529,10.2941,0.91512485,1.464,2.513,0.026,0.034,0.008,0.021
25R|2011,25R,2011,F,29.65,,Male,9.9,75.5556,68.2927,0.85795851,2.335,1.578,0.038,0.01,0.052,0.015
00J|2011,00J,2011,F,32.62,,Female,13.5,17.6471,2.9412,0.96007379,1.295,1.064,0.029,0.011,0.004,0.031
04T|2011,04T,2011,F,57.73,,Male,9,17.7778,31.7073,0.833872133,1.776,1.99,0.007,0.004,0.024,0.053
17C|2011,17C,2011,F,32.01,,Female,17.7,64.7059,66.1765,0.839291883,2.423,1.054,0.15,0.005,0.027,0.033
22R|2011,22R,2011,F,62.59,,Male,10,37.7778,26.8293,0.806374138,0.302,0.026,0.003,0.001,0.046,0.019
31S|2011,31S,2011,F,32.23,,Male,9.9,46.6667,58.5366,0.809850968,1.021,1.453,0.026,0.006,0.049,0.019
50I|2011,50I,2011,F,50.26,,Female,13.9,33.8235,26.4706,0.9050428,1.287,0.664,0.055,0.002,0.012,0.058
62H|2011,62H,2011,F,25.99,,Female,14.8,55.8824,54.4118,0.846188746,1.013,0.923,0.071,0.005,0.01,0.023
80T|2011,80T,2011,F,55.15,,Male,8.6,40,21.9512,0.822133909,0.118,1.358,0.001,0,0.014,0.018
82L|2011,82L,2011,F,7.43,,Female,11.7,38.2353,50,0.811061163,0.906,1.067,0.073,0.009,0.017,0.029
8A7|2011,8A7,2011,F,66.5,,Male,6.9,68.8889,75.6098,0.899193122,2.103,3.86,0.022,0.024,0.047,0.01
X44|2011,X44,2011,F,30.96,,Female,20.6,8.8235,7.3529,0.903540721,2.344,2.184,0.027,0.008,0,0.011
Z14|2011,Z14,2011,F,22.21,,Female,19.8,73.5294,73.5294,0.876492722,,,,,,
04N|2011,04N,2011,F,74.18,,Female,11.6,63.2353,57.3529,0.819050071,2.258,2.547,0.131,0.01,0.012,0.029
0A4|2011,0A4,2011,F,30.74,,Female,7,54.4118,55.8824,0.823965015,0.692,0.77,0.044,0.007,0.031,0.058
2A5|2011,2A5,2011,F,22.31,,Female,6.8,75,85.2941,0.842743322,0.909,0,0.055,0.002,0.008,0.033
34P|2011,34P,2011,F,57.14,,Male,10.8,33.3333,51.2195,0.803539192,0,0,0.023,0.002,0.056,0.019
42T|2011,42T,2011,F,53.65,,Male,8.8,35.5556,24.3902,0.803035186,1.532,0.488,0.008,0.001,0.024,0.018
50S|2011,50S,2011,F,41.07,,Female,9,44.1176,39.7059,0.842259815,0.437,0.67,0.039,0.008,0.021,0.038
60E|2011,60E,2011,F,65.17,,Male,15.7,15.5556,12.1951,0.92573307,0,0,0.008,0,0.002,0.019
